,Unnamed: 0,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
3011,3011,2020-01-31,中国,CN,None,None,None,None,11791,17988,243,259
2580,2580,2020-01-30,中国,CN,None,None,None,None,9692,15238,171,213
2162,2162,2020-01-29,中国,CN,None,None,None,None,7711,12167,124,170
1767,1767,2020-01-28,中国,CN,None,None,None,None,5974,9239,103,132
1394,1394,2020-01-27,中国,CN,None,None,None,None,4515,6973,60,106
1044,1044,2020-01-26,中国,CN,None,None,None,None,2744,5794,51,80
758,758,2020-01-25,中国,CN,None,None,None,None,1975,2684,49,56
519,519,2020-01-24,中国,CN,None,None,None,None,1287,1965,38,41
339,339,2020-01-23,中国,CN,None,None,None,None,830,1072,34,25
231,231,2020-01-22,中国,CN,None,None,None,None,571,393,25,17
174,174,2020-01-21,中国,CN,None,None,None,None,440,37,25,9
154,154,2020-01-20,中国,CN,None,None,None,None,291,54,25,6
149,149,2020-01-19,中国,CN,None,None,None,None,275,0,25,4
146,146,2020-01-18,中国,CN,None,None,None,None,198,0,24,3
143,143,2020-01-17,中国,CN,None,None,None,None,62,0,19,2
138,138,2020-01-16,中国,CN,None,None,None,None,45,0,15,2
96,96,2020-01-02,中国,CN,None,None,None,None,44,0,0,0
93,93,2020-01-01,中国,CN,None,None,None,None,43,0,0,0
