,pubDate,title,summary,infoSource,sourceUrl,province,provinceId
0,1587826874000,印尼巴厘岛旅游业遭灭顶之灾,根据印尼旅游工业协会的统计数字，受新冠疫情影响，2 月份与中国中断通航后，游客下降了 18%；3 月份，受欧洲、英国和韩国限制飞机去巴厘岛的影响，游客下降了 42.32%；4 月份，游客下降了 93.24%。,央视新闻app,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtieZpCHhz9TujomTk6GEPj200425&isfromapp=1,,
1,1587825545000,意大利将对 15 万人免费展开血清抗体检测,当地时间 25 日，意大利新冠肺炎疫情应急委员会专员多梅尼科·阿尔库里表示，从 5 月 4 日起将在意大利全国范围内免费对 15 万人进行病毒血清抗体检测。此外，政府还将向医疗、公共服务保障、军警等特定人群发放足够的口罩。,央视新闻app,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiJ8mlqA9Fzxn806udVzqT200425&isfromapp=1,,
2,1587823882000,英国新冠肺炎医院死亡病例超两万例,25 日，英格兰卫生部门数据显示，仅英格兰，新冠肺炎医院死亡病例单日就新增 711 例，这也使得英国新冠肺炎医院死亡病例超两万例。,央视新闻app,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Artic4J5YHa86zTlKC7j7zrj200425&isfromapp=1,,
3,1587818999000,甘肃 25 日通报：当日无新增确诊病例，无新增已持续20天,4 月 24 日 20 时至 4 月 25 日 20 时，甘肃省无新增新冠肺炎确诊病例、疑似病例、无症状感染者和密切接触者。截至 4 月 25 日 20 时，甘肃省连续 20 天无新增确诊病例报告，连续 28 天无疑似病例报告，连续 2 天无无症状感染者报告，连续 2 天无密切接触者。,央视新闻app,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiKpwARImyqZqa4PG6Tk8g200425&isfromapp=1,,
4,1587817204000,美国新冠肺炎累计确诊病例突破 90 万例, 截至北京时间今天（25 日）15 点31 分，美国新冠肺炎累计确诊病例突破 90 万例。,人民日报海外版,http://m.weibo.cn/3057540037/4497693700939007,,
5,1587816929000,全球感染人数超 277 万例,"截至北京时间 4 月 25 日 18 时，211 个国家和地区累计确诊新冠肺炎超 277 万例，美国超过 90 万例。
",人民日报,http://m.weibo.cn/2803301701/4497692548120677,,
6,1587815551000,日本政府职员确诊，新冠肺炎对策担当大臣居家隔离,据日本媒体 25 日报道，内阁官房新冠肺炎对策推进室的一名职员感染了新冠病毒。这名职员在出现发烧症状前两天，曾参与了日本内阁经济再生担当大臣兼新冠肺炎对策担当大臣西村康稔的视察工作。虽然西村康稔尚不属于密切接触者，但为了采取预防措施，25 日在家进行居家隔离。,央视新闻app,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Artiowbn0OLKD3OT530PXeUO200425&isfromapp=1,,
7,1587813869000,最高法：坚决纠正无故辞退湖北籍劳动者等行为,23 日，最高人民法院召开党组会议要求，妥善审理各类涉疫情案件，严禁歧视湖北籍劳动者，坚决依法纠正个别单位拒绝招录、无故辞退湖北籍劳动者等就业歧视行为。,央视新闻app,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtilHF7efD7FfxGPBVaASsa200425&isfromapp=1,,
8,1587812988000,法国卫生部长韦兰：「解封」后力争每周检测力度达 50 万至 70 万次,当地时间 4 月 25 日上午，法国卫生部长韦兰对媒体表示，当前法国正在逐渐加大新冠病毒的检测力度。在 5 月 11 日法国逐步「解封」后，将力争实现每周 50 万至 70 万次的新冠病毒核酸检测。,央视新闻app,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiGFgjK72ejCgYUmauLgof200425&isfromapp=1,,
9,1587812140000,20 位顶配专家明起撤离武汉,随着武汉疫情日渐好转，国家卫健委、中央指导组留给武汉的「顶配专家团」20 位专家将从 4 月 26 日起陆续撤离武汉。与这座城市并肩战斗 3 个月，他们也留下了牵挂和感触。,人民日报,http://m.weibo.cn/2803301701/4497672461350396,,
